host,rtt,port,server_name,synStart,synEnd,scanEnd,protocol,cipher,resultString,verify_err_no,verify_code,server_version,depth,depth_verbose,error_data
76.76.2.14,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.129,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.155,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.143,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.190,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.180,,443,dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.158,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.161,,443,freedns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.140,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.186,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.130,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.15,,443,dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.139,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
